"","X","n_in_2008","mean_dist_in_2008","med_dist_in_2008","n_out_2008","mean_dist_out_2008","med_dist_out_2008","n_in_2009","mean_dist_in_2009","med_dist_in_2009","n_out_2009","mean_dist_out_2009","med_dist_out_2009","n_in_2010","mean_dist_in_2010","med_dist_in_2010","n_out_2010","mean_dist_out_2010","med_dist_out_2010","n_in_2011","mean_dist_in_2011","med_dist_in_2011","n_out_2011","mean_dist_out_2011","med_dist_out_2011","n_in_2012","mean_dist_in_2012","med_dist_in_2012","n_out_2012","mean_dist_out_2012","med_dist_out_2012","n_in_2013","mean_dist_in_2013","med_dist_in_2013","n_out_2013","mean_dist_out_2013","med_dist_out_2013","n_in_2014","mean_dist_in_2014","med_dist_in_2014","n_out_2014","mean_dist_out_2014","med_dist_out_2014","n_in_2015","mean_dist_in_2015","med_dist_in_2015","n_out_2015","mean_dist_out_2015","med_dist_out_2015","n_in_2016","mean_dist_in_2016","med_dist_in_2016","n_out_2016","mean_dist_out_2016","med_dist_out_2016"
"1",1,370,4.50420511518156,3.12543244469034,187,2.87824236384,1.47902824644776,337,4.05483983610793,2.17718527667343,170,3.08794917009634,1.46183089671456,248,5.19904452591619,3.42254451063059,109,3.13696315370386,1.85739891742477,338,4.20753686123558,2.09927123605421,105,3.88867151126616,1.54761114459972,373,4.42641761077199,2.36023058974118,208,2.30056888676336,1.26731815742283,431,4.2618861678636,2.69631477493694,179,2.97307080644583,1.54761114459972,502,3.88371500873619,2.22685668246153,143,3.41257686687309,1.71234058256014,715,3.81471223569366,2.09593775900982,179,4.07957266199287,1.54761114459972,665,4.61937036262876,3.35197660674731,201,2.79251174198075,1.65607198041543
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,6.28771601656811,5.41137727019787,NA,NA,NA,16,6.93714678276367,4.67394445090495,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,5.14721079617466,3.95016267138006,NA,NA,NA,15,4.04610769495656,3.58212976643285,NA,NA,NA
"5",5,16,5.09218005194903,3.64326287550147,NA,NA,NA,11,7.60440318575518,7.53646559281012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,4.96417696660902,3.73200904754567,NA,NA,NA,14,2.93065046534217,2.07673779709407,NA,NA,NA,10,4.12091446412217,2.10652946675737,NA,NA,NA,12,5.29072559932195,3.65375612331519,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,13,4.98227375402485,3.49056057250282,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2.707755480199,1.54559820999655,NA,NA,NA,13,5.93261650655151,4.88404311843643,NA,NA,NA,13,5.78235395202199,3.82978253576315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,28,4.40563456077982,3.59405360501245,NA,NA,NA,29,5.04574031908112,4.31587478282403,NA,NA,NA,22,4.16361962585733,2.05650863664087,12,3.71326326956567,1.91102380255847,15,4.49153559381213,2.65262478887414,NA,NA,NA,13,5.84606544434751,3.26863113247304,NA,NA,NA,22,4.24554907690381,3.00482401018255,NA,NA,NA,21,4.67330887479359,3.18435705124906,NA,NA,NA,19,3.8909294068679,2.29869366055775,NA,NA,NA,22,4.81506738091823,2.92573485088471,NA,NA,NA
"8",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,6.68990014579705,2.74721826173158,NA,NA,NA
"9",9,11,6.3780961854545,3.73462839701819,NA,NA,NA,14,6.85066921122554,4.50120831076906,10,5.85450589917932,5.42027127795482,16,5.20863233262417,4.41313014481283,NA,NA,NA,19,5.11830126033829,1.97496616700953,NA,NA,NA,14,5.72524102753907,5.02112613150343,NA,NA,NA,16,6.41310037314911,5.11928029388838,NA,NA,NA,20,6.20842789787477,8.18427723650534,NA,NA,NA,10,6.2108165590781,5.06002648592997,NA,NA,NA,16,5.67695236279779,3.72038440510607,NA,NA,NA
"10",10,NA,NA,NA,NA,NA,NA,10,7.30414597214321,4.60280331487809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,35,3.46211343992194,2.03771639807715,NA,NA,NA,33,5.53962340207336,4.16158686977319,NA,NA,NA,26,5.43644724488414,3.04637010640038,14,2.50321225667499,1.5931163105858,20,4.95236384869554,2.94266729903137,NA,NA,NA,18,3.58110376145113,2.3397845778599,11,2.75115830242238,1.66930668789101,22,3.09590901801508,1.16020497265882,10,1.85180396695349,1.30872833745457,18,5.55317462556592,3.26999389744279,31,2.50663515705285,1.66930668789101,35,4.29801830642325,1.62636335920565,54,1.81390157539519,1.66930668789101,34,4.04736489596954,1.77108168367644,14,3.6331384240493,1.85351154298408
"12",12,11,3.07871175706526,2.56094145620934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,5.96593899682735,3.28104006178,NA,NA,NA
"13",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,5.13181906394166,2.46522873186384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,4.93785003592181,2.31628754711477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,NA,NA,NA,NA,NA,NA,10,5.97656985900132,1.77292040721654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,10,4.59783732579671,4.30910712586159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3.08047151483259,2.38999211335647,NA,NA,NA,15,3.41086337511718,3.18166208338642,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,21,5.82646507666176,4.15225425178195,NA,NA,NA,15,5.47436776231861,2.13228927651583,NA,NA,NA,12,4.68923491477383,3.81174687735886,NA,NA,NA,12,4.43699378398345,3.37330687258312,NA,NA,NA,16,3.3762895354064,2.21920523212551,NA,NA,NA,20,3.90825025814947,2.4644580132336,NA,NA,NA,26,3.22968623159841,2.92804980983798,NA,NA,NA,32,3.73530882069979,2.28043681883666,NA,NA,NA,22,3.29031910346407,2.90522724388182,13,3.12333336644541,1.6434629510461
"20",20,10,4.59983207000433,3.87877888689094,NA,NA,NA,14,5.36377668897873,3.23189739036932,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,4.43257779755791,1.59609750944183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2.86611785696894,3.58893586328737,NA,NA,NA,13,3.82604530637409,2.48213165164504,NA,NA,NA,11,4.84142408779222,2.61830305753516,NA,NA,NA
"21",21,12,2.4914574917589,1.93099499839457,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4.00888842414491,2.82073842506047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,31,2.99923069274304,2.32870760815229,18,3.32687366471478,2.2726279457497,38,3.41545675868265,2.02071096976199,17,3.20136218560022,2.29066951264778,31,4.93759092013331,3.72588776845633,NA,NA,NA,27,4.14925941471637,2.22943613775555,NA,NA,NA,35,4.29336046223704,2.58600883165842,18,2.44217116012674,1.71476026838526,33,6.04660502767662,3.42089638088563,15,5.49985248759605,3.42094241843474,31,5.20314334379042,3.00851444798161,17,3.83727177958501,2.81633070456489,30,3.94507764522409,2.34026620822313,10,2.1699782081839,2.26785426621068,55,3.99513297478692,2.81633070456489,23,3.48657436097719,2.74351673497496
"23",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,10,7.28285129630027,8.40349919363293,NA,NA,NA,12,4.15412767268608,2.60498116609065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4.74448157307065,2.94285079390389,NA,NA,NA,13,5.34369021786151,3.3544125478797,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4.53733466928476,2.39105819826066,NA,NA,NA,11,4.77282524162555,5.72034286708734,NA,NA,NA
"25",25,26,4.26578457861683,3.28259165998302,11,3.38866226011612,2.46768598963684,24,5.44567255626895,4.18392030841492,NA,NA,NA,13,3.20438876837705,2.52998082649518,NA,NA,NA,20,3.5884960316791,2.70352535312714,NA,NA,NA,16,2.7987499960858,1.28060146429572,NA,NA,NA,21,4.28754522496596,3.66628456761108,NA,NA,NA,14,5.56036121078446,3.6004844201493,NA,NA,NA,32,3.21786694090447,2.21916450917081,NA,NA,NA,40,3.84473092318351,2.09143934093979,NA,NA,NA
"26",26,64,4.45147022367692,3.41164456751137,46,3.34024907764875,2.32348101981663,57,3.18705929815594,2.87866119329867,33,3.33314942621948,2.75168692037878,61,3.71711570749658,2.71077026855655,31,3.51867249767673,2.99013763510104,40,3.16809810121878,2.34054743109069,17,2.48618772676367,2.02194590438583,57,4.06351397361694,2.62608379531131,26,2.82304575407337,2.34504286802187,53,3.3072250256694,2.47850064032186,28,3.41096951965356,2.42718747182475,50,3.7622032861855,2.07705338904694,23,4.21146894729124,3.1680130599292,53,3.78731526386927,2.40909390301841,35,3.30804271660505,2.71077026855655,58,3.66980903002568,2.61658962738212,28,2.68947256116806,2.24155825879489
