"","X","clusters","birth_2008","death_2008","intra_2008","in_2008","out_2008","n_2008","birth_2009","death_2009","intra_2009","in_2009","out_2009","n_2009","birth_2010","death_2010","intra_2010","in_2010","out_2010","n_2010","birth_2011","death_2011","intra_2011","in_2011","out_2011","n_2011","birth_2012","death_2012","intra_2012","in_2012","out_2012","n_2012","birth_2013","death_2013","intra_2013","in_2013","out_2013","n_2013","birth_2014","death_2014","intra_2014","in_2014","out_2014","n_2014","birth_2015","death_2015","intra_2015","in_2015","out_2015","n_2015","birth_2016","death_2016","intra_2016","in_2016","out_2016","n_2016"
"1",1,1,74171,70929,316520,4755,169,395446,74232,63316,326214,4228,167,404674,194255,200423,199274,3558,108,397087,193936,194298,197771,4264,113,395971,83201,52606,337455,4270,176,424926,76535,65628,353200,4422,167,434157,99073,68574,359653,4338,162,463064,96737,68007,388822,4529,188,490088,104488,72075,410622,5230,216,520340
"2",2,10,67,80,343,15,NA,425,69,55,346,24,16,439,258,273,158,16,NA,432,266,246,170,21,NA,457,75,56,383,28,12,486,101,60,406,25,17,532,100,88,424,24,11,548,107,83,445,25,13,577,134,97,457,33,12,624
"3",3,11,NA,NA,25,NA,NA,35,NA,NA,24,NA,NA,31,14,13,14,NA,NA,28,13,10,17,NA,NA,31,NA,NA,23,NA,NA,36,11,NA,29,NA,NA,42,16,10,31,NA,NA,50,12,NA,34,NA,NA,50,19,NA,39,NA,NA,61
"4",4,12,28,31,89,NA,NA,126,14,14,104,NA,NA,124,64,64,56,NA,NA,122,56,57,61,NA,NA,122,21,NA,108,NA,NA,131,30,26,101,NA,NA,136,39,29,101,NA,NA,143,28,18,120,NA,NA,152,22,24,122,NA,NA,149
"5",5,13,18,14,93,NA,NA,115,15,28,84,NA,NA,104,56,60,36,NA,NA,96,58,59,35,NA,NA,97,45,NA,86,NA,NA,139,26,29,106,NA,NA,136,35,22,109,16,NA,160,40,26,129,NA,NA,175,29,26,129,NA,NA,165
"6",6,14,82,111,425,31,10,538,87,62,461,23,NA,571,328,355,194,14,NA,536,346,339,185,19,NA,550,94,76,456,35,12,585,74,81,484,42,NA,600,89,76,501,28,11,618,76,87,508,41,11,625,83,83,515,32,12,630
"7",7,15,NA,NA,48,NA,NA,59,14,11,46,NA,NA,60,36,27,33,NA,NA,69,48,45,21,NA,NA,72,25,NA,62,NA,NA,91,19,14,73,NA,NA,93,20,19,67,NA,NA,93,33,13,73,NA,NA,108,25,17,81,NA,NA,113
"8",8,16,NA,10,99,NA,NA,108,NA,19,87,NA,NA,100,62,61,37,NA,NA,102,66,59,40,NA,NA,108,17,13,93,NA,NA,112,15,10,98,NA,NA,116,16,16,97,NA,NA,118,25,15,99,NA,NA,130,35,20,107,NA,NA,147
"9",9,17,12,15,53,NA,NA,69,NA,10,56,NA,NA,66,27,25,40,NA,NA,72,23,26,43,NA,NA,69,13,NA,60,NA,NA,75,18,18,56,NA,NA,78,11,NA,68,NA,NA,82,11,15,62,NA,NA,77,17,NA,65,NA,NA,85
"10",10,18,20,21,72,NA,NA,100,13,11,86,NA,NA,107,55,51,51,NA,NA,109,67,56,48,NA,NA,117,22,11,103,NA,NA,129,23,18,105,NA,NA,133,19,17,108,NA,NA,131,17,19,109,NA,NA,132,17,NA,120,NA,NA,146
