"id_point","id_cluster"
"E01000639","1"
"E01000504","1"
"E01000928","2"
"E01000923","2"
"E01000968","3"
"E01000932","3"
"E01001742","4"
"E01001737","4"
"E01001952","5"
"E01001907","5"
"E01002573","6"
"E01001377","6"
"E01002902","7"
"E01002859","7"
"E01003131","8"
"E01003117","8"
"E01003459","9"
"E01003360","9"
"E01003534","10"
"E01003529","10"
"E01003939","11"
"E01003929","11"
"E01004663","12"
"E01004661","12"
"E01004696","13"
"E01004681","13"
"E01004705","14"
"E01004701","14"
"E01004739","15"
"E01004738","15"
"E01004756","16"
"E01004676","16"
"E01033099","17"
"E01004580","17"
"E01033135","18"
"E01033093","18"
"E01033596","19"
"E01004763","19"
"E01033600","14"
